init 10000
put 0 0
put 1 5
put 2 10
put 3 15
put 4 20
put 5 25
put 6 30
put 7 35
put 8 40
put 9 45
put 10 50
put 11 55
put 12 60
put 13 65
put 14 70
put 15 75
put 16 80
put 17 85
put 18 90
put 19 95
put 20 100
put 21 105
put 22 110
put 23 115
put 24 120
put 25 125
put 26 130
put 27 135
put 28 140
put 29 145
put 30 150
put 31 155
put 32 160
put 33 165
put 34 170
put 35 175
put 36 180
put 37 185
put 38 190
put 39 195
put 40 200
put 41 205
put 42 210
put 43 215
put 44 220
put 45 225
put 46 230
put 47 235
put 48 240
put 49 245
put 50 250
put 51 255
put 52 260
put 53 265
put 54 270
put 55 275
put 56 280
put 57 285
put 58 290
put 59 295
put 60 300
put 61 305
put 62 310
put 63 315
put 64 320
put 65 325
put 66 330
put 67 335
put 68 340
put 69 345
put 70 350
put 71 355
put 72 360
put 73 365
put 74 370
put 75 375
put 76 380
put 77 385
put 78 390
put 79 395
put 80 400
put 81 405
put 82 410
put 83 415
put 84 420
put 85 425
put 86 430
put 87 435
put 88 440
put 89 445
put 90 450
put 91 455
put 92 460
put 93 465
put 94 470
put 95 475
put 96 480
put 97 485
put 98 490
put 99 495
put 100 500
put 101 505
put 102 510
put 103 515
put 104 520
put 105 525
put 106 530
put 107 535
put 108 540
put 109 545
put 110 550
put 111 555
put 112 560
put 113 565
put 114 570
put 115 575
put 116 580
put 117 585
put 118 590
put 119 595
put 120 600
put 121 605
put 122 610
put 123 615
put 124 620
put 125 625
put 126 630
put 127 635
put 128 640
put 129 645
put 130 650
put 131 655
put 132 660
put 133 665
put 134 670
put 135 675
put 136 680
put 137 685
put 138 690
put 139 695
put 140 700
put 141 705
put 142 710
put 143 715
put 144 720
put 145 725
put 146 730
put 147 735
put 148 740
put 149 745
put 150 750
put 151 755
put 152 760
put 153 765
put 154 770
put 155 775
put 156 780
put 157 785
put 158 790
put 159 795
put 160 800
put 161 805
put 162 810
put 163 815
put 164 820
put 165 825
put 166 830
put 167 835
put 168 840
put 169 845
put 170 850
put 171 855
put 172 860
put 173 865
put 174 870
put 175 875
put 176 880
put 177 885
put 178 890
put 179 895
put 180 900
put 181 905
put 182 910
put 183 915
put 184 920
put 185 925
put 186 930
put 187 935
put 188 940
put 189 945
put 190 950
put 191 955
put 192 960
put 193 965
put 194 970
put 195 975
put 196 980
put 197 985
put 198 990
put 199 995
put 200 1000
put 201 1005
put 202 1010
put 203 1015
put 204 1020
put 205 1025
put 206 1030
put 207 1035
put 208 1040
put 209 1045
put 210 1050
put 211 1055
put 212 1060
put 213 1065
put 214 1070
put 215 1075
put 216 1080
put 217 1085
put 218 1090
put 219 1095
put 220 1100
put 221 1105
put 222 1110
put 223 1115
put 224 1120
put 225 1125
put 226 1130
put 227 1135
put 228 1140
put 229 1145
put 230 1150
put 231 1155
put 232 1160
put 233 1165
put 234 1170
put 235 1175
put 236 1180
put 237 1185
put 238 1190
put 239 1195
put 240 1200
put 241 1205
put 242 1210
put 243 1215
put 244 1220
put 245 1225
put 246 1230
put 247 1235
put 248 1240
put 249 1245
put 250 1250
put 251 1255
put 252 1260
put 253 1265
put 254 1270
put 255 1275
put 256 1280
put 257 1285
put 258 1290
put 259 1295
put 260 1300
put 261 1305
put 262 1310
put 263 1315
put 264 1320
put 265 1325
put 266 1330
put 267 1335
put 268 1340
put 269 1345
put 270 1350
put 271 1355
put 272 1360
put 273 1365
put 274 1370
put 275 1375
put 276 1380
put 277 1385
put 278 1390
put 279 1395
put 280 1400
put 281 1405
put 282 1410
put 283 1415
put 284 1420
put 285 1425
put 286 1430
put 287 1435
put 288 1440
put 289 1445
put 290 1450
put 291 1455
put 292 1460
put 293 1465
put 294 1470
put 295 1475
put 296 1480
put 297 1485
put 298 1490
put 299 1495
put 300 1500
put 301 1505
put 302 1510
put 303 1515
